url,followerNum,followingNum,userId,postNum
http://www.instagram.com/kanna_kloss/,145,410,kanna_kloss,319
http://www.instagram.com/yuma_1206/,400,419,yuma_1206,120
http://www.instagram.com/kirakira575/,"9,261",297,kirakira575,105
http://www.instagram.com/sakibon69/,30.6k,335,sakibon69,943
http://www.instagram.com/kii__522/,898,906,kii__522,150
http://www.instagram.com/1x8_maho/,"2,406",400,1x8_maho,278
http://www.instagram.com/t___m____/,128,128,t___m____,276
http://www.instagram.com/YMA12YUI/,188,200,YMA12YUI,14
http://www.instagram.com/Skymujl/,"2,587",345,Skymujl,224
http://www.instagram.com/garland.shiho/,"2,207",865,garland.shiho,642
http://www.instagram.com/____riee/,32k,182,____riee,109
http://www.instagram.com/pekotampe__/,716,466,pekotampe__,45
http://www.instagram.com/mio_doll_/,"1,844",828,mio_doll_,413
http://www.instagram.com/vmira0306/,"3,339",703,vmira0306,314
http://www.instagram.com/pipilovepink/,"1,647",181,pipilovepink,364
http://www.instagram.com/hazuki.nkjm/,"5,434","6,240",hazuki.nkjm,512
http://www.instagram.com/chikako_2678/,329,610,chikako_2678,152
http://www.instagram.com/renaaa_ogn/,756,750,renaaa_ogn,26
http://www.instagram.com/aya_0825/,967,812,aya_0825,50
http://www.instagram.com/aska_1031/,741,660,aska_1031,324
http://www.instagram.com/okechan__1/,697,551,okechan__1,67
http://www.instagram.com/yuna_ebs/,377,590,yuna_ebs,394
http://www.instagram.com/_yuuki6v6/,132,245,_yuuki6v6,114
http://www.instagram.com/m17_wizard.jp/,289,385,m17_wizard.jp,18
http://www.instagram.com/sweet_____moon/,334,39,sweet_____moon,31
http://www.instagram.com/ma_0428_h/,51,90,ma_0428_h,111
http://www.instagram.com/ayane_pipi/,500,80,ayane_pipi,292
http://www.instagram.com/haru__2206/,"1,802",828,haru__2206,177
http://www.instagram.com/micarose_925/,"5,946",695,micarose_925,384
http://www.instagram.com/12.uuuk/,"3,400",152,12.uuuk,423
http://www.instagram.com/lamourenrose.taka/,"1,007",106,lamourenrose.taka,781
http://www.instagram.com/itoumei/,"2,038",121,itoumei,443
http://www.instagram.com/mion.t.0601/,144,136,mion.t.0601,12
http://www.instagram.com/tnk_08.12/,164,158,tnk_08.12,51
http://www.instagram.com/annakobe_/,"3,926",692,annakobe_,724
http://www.instagram.com/manatmnt0116/,"9,459",33,manatmnt0116,"2,083"
http://www.instagram.com/kanaru_u/,451,184,kanaru_u,121
http://www.instagram.com/w.takayukiii/,33,603,w.takayukiii,0
http://www.instagram.com/sylphide831/,142,44,sylphide831,305
http://www.instagram.com/yuka_x0v0x_/,404,362,yuka_x0v0x_,264
http://www.instagram.com/iicecream_10/,859,869,iicecream_10,62
http://www.instagram.com/a_3303x/,270,290,a_3303x,78
http://www.instagram.com/shions_hobby/,5,9,shions_hobby,37
http://www.instagram.com/emilyswift13/,165,120,emilyswift13,740
http://www.instagram.com/dae0922/,48,43,dae0922,0
http://www.instagram.com/km.mine/,143,231,km.mine,15
http://www.instagram.com/wakamekai78/,196,369,wakamekai78,31
http://www.instagram.com/jill___princess/,"4,324",77,jill___princess,84
http://www.instagram.com/harubiyori3/,284,89,harubiyori3,"1,037"
http://www.instagram.com/32_honoka/,462,628,32_honoka,53
http://www.instagram.com/punidoll/,"5,185",337,punidoll,114
http://www.instagram.com/hikatan_n/,253,408,hikatan_n,350
http://www.instagram.com/kirakira_pink_/,38,33,kirakira_pink_,16
http://www.instagram.com/__doll23/,12,10,__doll23,0
http://www.instagram.com/doll23/,12,3,doll23,0
http://www.instagram.com/hona_gram/,15,141,hona_gram,20
http://www.instagram.com/aiai_doll_/,44,45,aiai_doll_,2
http://www.instagram.com/pj.3ya0925/,48,46,pj.3ya0925,18
http://www.instagram.com/r19981219/,0,15,r19981219,0
http://www.instagram.com/0228haruka0228/,424,442,0228haruka0228,361
http://www.instagram.com/y__kaho/,691,790,y__kaho,283
http://www.instagram.com/akanetiger/,"3,933",62,akanetiger,288
http://www.instagram.com/ryuji_sweets/,"1,063",69,ryuji_sweets,96
http://www.instagram.com/m.h_17_happygram/,"1,010","1,146",m.h_17_happygram,515
http://www.instagram.com/0929_osaki/,287,373,0929_osaki,179
http://www.instagram.com/f0u0land/,52,13,f0u0land,26
http://www.instagram.com/kuriharamaro/,176,245,kuriharamaro,24
http://www.instagram.com/xun_jin/,527,596,xun_jin,359
http://www.instagram.com/korinchance307/,13,32,korinchance307,8
http://www.instagram.com/shimwaihnin/,149,155,shimwaihnin,216
http://www.instagram.com/canaco316/,"1,007",128,canaco316,26
http://www.instagram.com/kaho_tsuji/,"1,050",264,kaho_tsuji,25
http://www.instagram.com/c6_tntm/,65,87,c6_tntm,53
http://www.instagram.com/tati_yzara/,127,163,tati_yzara,116
http://www.instagram.com/yuri.mekko.t/,3,10,yuri.mekko.t,1
http://www.instagram.com/kana_love_disney/,108,75,kana_love_disney,112
http://www.instagram.com/yui.minny.now/,"1,365",412,yui.minny.now,364
http://www.instagram.com/a.y.a_pii/,517,691,a.y.a_pii,271
http://www.instagram.com/_ayasgram_/,10.1k,148,_ayasgram_,681
http://www.instagram.com/sunaokikuchi/,62,29,sunaokikuchi,78
http://www.instagram.com/diet__63kg/,"2,379",361,diet__63kg,"1,098"
http://www.instagram.com/hyr.a_a/,231,257,hyr.a_a,108
http://www.instagram.com/fukutarou_kawabata/,172,276,fukutarou_kawabata,35
http://www.instagram.com/3mariha19/,"7,041",396,3mariha19,452
http://www.instagram.com/18_asaka/,12.7k,530,18_asaka,412
http://www.instagram.com/saaaki89/,372,441,saaaki89,217
http://www.instagram.com/yuumo211/,8,31,yuumo211,62
http://www.instagram.com/hiroki1i/,397,592,hiroki1i,83
http://www.instagram.com/kei.kuwahara7/,156,415,kei.kuwahara7,27
http://www.instagram.com/touichi_gram_/,456,473,touichi_gram_,13
http://www.instagram.com/t.s1705/,67,68,t.s1705,13
http://www.instagram.com/chika_15908/,64,50,chika_15908,19
http://www.instagram.com/sakuuraan/,676,848,sakuuraan,36
http://www.instagram.com/huwahuwalemon/,664,"6,864",huwahuwalemon,46
